soru_id,metin_var_mı,metin,soru_kökü,A,B,C,D,E
36,Evet,"Öznel ifadeler doğruluğu kişiden kişiye değişen kesin ve net doğrusu olmayan ifadelerdir Bu nedenle de kanıtlanamaz ifadelerdir","Buna göre aşağıdakilerden hangisi kanıtlanabilirlik açısından diğerlerinden farklıdır","Yazarın kalemine hâkimiyetine diyeceğim hiçbir şey yok ancak yazar zaman zaman içerikte tekrara düşmektedir","1878 yılında yönetim olarak el değiştiren bu yerleşim yeri eski çağlardan beri nüfus olarak etrafındaki şehirlere göre çok kalabalıktır","Bir yerin iyi ya da kötü olması orada bulunan binalardan çok sizin oraya verdiğiniz değerle ölçülmelidir","Yaşam destek ünitesine bağlanmış gibi telefonlarını şarja takıp prizin dibinde oturan insanların artışını görmek beni üzüyor",
37,Evet,"Deyimler ilgi çekici bir anlatım özelliği taşıyan genellikle gerçek anlamından ayrı bir anlamı bulunan kalıplaşmış söz öbekleridir","Cümlelerinin hangisinde altı çizili ifade deyim değildir",I,II,III,IV,
38,Evet,"Teknoloji baş döndürücü bir şekilde gelişiyor - Çizdiği bütün resimleri maalesef çöpe attı - Yoğurt ve balık kalsiyum bakımından zengindir - Yaşadıklarını güzel bir anı kitabı hâline getirdi","Numaralanmış cümlelerin hangisi kişisel görüş içermez",I,II,III,IV,
39,Evet,"Selma Altan Seval Sevilay Kız Kulesi ile ilgili konuşuyor","Kız Kulesi ile ilgili konuşan bu kişilerin hangisi kişisel görüş bildirmemiştir","Selma","Altan","Seval","Sevilay",
40,Hayır,"","Aşağıdaki atasözlerinden hangisi mecaz anlamlıdır","Sağlık varlıktan yeğdir","Az söyle çok dinle","Hamama giren terler","Kul hatasız olmaz",
41,Evet,"Ben çok küçükken yani çocukların itfaiyeci ya da pilot olmak istedikleri dönemde büyüyünce bir şey icat etmek ya da bir şey keşfetmek isterdim metni","Yukarıdaki numaralanmış cümlelerin hangisinde amaç-sonuç anlamı vardır",I,II,III,IV,
42,Evet,"İçin sözcüğü cümlede amaç neden-sonuç özgüleme gibi pek çok anlam ilgisiyle kullanılabilir","Buna göre aşağıdaki cümlelerin hangisinde için sözcüğü ötekilerden farklı bir anlam ilgisiyle kullanılmıştır","Yurt dışında okumak için yabancı dil öğreniyor","Nihal eti sevmediği için sebze yemekleri yiyor","Yağmur yağdığı için bugün de dışarı çıkamadık","Ödevlerini zamanında yaptığı için kafası rahatmış",
43,Hayır,"","Aşağıdaki cümlelerin hangisinde amaç-sonuç ilişkisi yoktur","İş takibi yapmak için bütün gün şehri dolaşırdı","Kanaatsiz ve sabırsız olduğu için ne yapacağına karar veremiyordu","Dürüst onurlu bir gençlik yetiştirmek maksadıyla elimden geleni yapıyorum","Güzel vakit geçirmek için hafta sonları parkları geziyorum",
44,Evet,"Sen de aynı hataları yap","Bu cümlenin devamı aşağıdakilerden hangisiyle sürdürülürse amaç-sonuç ilişkisi ortaya çıkar","-tığın için benim gibi düşük not aldın","-ma diye söylüyorum bunları sana","-masaydın belki de sınavı geçerdir","-tın bu yüzden hiç kendini temize çıkarma",
45,Evet,"Bir kuş cıvıltısı duysam kanım donar - Adaya kuş uğrasa da uğramasa da burayı seviyorum - Ellerinde kafes görürsem içim cız ederdi - Gökyüzünde bir kuş görse gözleri parlardı","Bu cümlelerin hangisinde koşul ilişkisi yoktur",I,II,III,IV,
46,Hayır,"","Aşağıdaki altı çizili sözcüklerden hangisi bulunduğu cümleye karşılaştırma anlamı katmıştır","Kendini geliştirmek istiyorsan kitap okumalısın","Bu adam çocukları içinde en çok onu seviyordu","Çalışırken aceleci davranmak kötü sonuçlara yol açar","Geçmiş günleri anmak beni hep hüzünlendirmiştir",
47,Evet,"Günlük tutan bir yazar yapıtlarında açığa vurmak istemediği kimi duygu ve düşüncelerini günlüğünde yansıtabilir","Yukarıdaki numaralanmış cümlelerin hangisinde koşul anlamı vardır",II,III,IV,V,
48,Evet,"Bana söylediğin mazeretlerin hiçbirini kabul etmiyorum - Tut ki köprüdeki çalışmalar zamanında bitmedi - 8C sınıfının en haylazı Mesut olmalı - Yemeği annem yaptıysa kesin çok güzeldir","Cümlelerin hangisinde varsayım anlamı vardır",I,II,III,IV,
49,Evet,"Denemelerinde kendi yaşantısını okuyucuyla paylaşıyor - Bu denemesinde kişilerin yaşama bakışlarını ele almış - Denemelerinde çeşitli konulardaki düşüncelerini kısa açıklayıcı cümlelerle anlatmış - Ünlü deneme yazarı her konuya değinmiş","Bir yazarın denemeleri hakkında söylenmiş bu cümlelerden hangisi yazarın üslubuna ilişkin bilgi vermektedir",I,II,III,IV,
50,Hayır,"","Aşağıdaki cümlelerin hangisinde ön yargı söz konusudur","Kitaplar mutluluğumuz için bir araçtır","Mutlu olmanın yollarını ondan öğrendim","Göreceksiniz bu film pek izlenmeyecek","Romanları hikâyeleri kadar başarılı değildir",
51,Evet,"Yarın kar yağabilir","cümlesindeki anlam özelliğine aşağıdaki seçeneklerin hangisinde yer verilmemiştir","Son sınavından yüksek not alacağını düşünüyorum","Ummadığın taş baş yarabilir","Belki yarın derse ben de gelmem","Deniz bugün dalgalı olabilir",
52,Hayır,"","Aşağıdaki cümlelerin hangisinde yay ayraç içinde belirtilen anlam özelliği yoktur","Diyelim ki insanlar uzayda şehirler kurdu Öneri","Eski İstanbul şimdikine göre daha güzeldi Karşılaştırma","Bu öykülerde anlatılan yörenin konuşma dili kullanılmış Üslup","Büyük ikramiye sana da çıkabilir Olasılık",
53,Hayır,"","Aşağıda verilen cümlelerin hangisinde şaşırma söz konusudur","Derdimi kime nasıl anlatacağımı bilmiyorum","Bu kadar işin içinde nasıl kaybolmuyorsun anlamıyorum","Her türlü acıyı çekmiş ama olanlara sabretmiş","Bizimle birlikte çalışmayı göze alamıyorlarmış",
54,Evet,"İki gece üst üste yağmur yağmıştı - Bu yağmurla Bursa Ovası yeşil denize dönmüştü - Cemilin canı müşterisizlikten sıkılmıştı - Böyle ıslak havalarda dükkâna kimsecikler gelmezdi","Numaralanmış cümlelerin hangisinde duygusal bir anlatım söz konusudur",I,II,III,IV,
55,Evet,"Herkesin sözüne inanırsan böyle çabuk aldanırsın - Bundan böyle kimseye bir şey sormuyorsun sadece benim dediklerimi yapıyorsun - Hiçbir şeyi kafasına takmıyor sürekli etrafına neşe saçıyor - Hem bana bir şey sormuyor hem de her işi ona yıktığımı söylüyor","Yukarıdaki numaralanmış cümlelerin hangisinde yakınma anlamı vardır",I,II,III,IV,
56,Evet,"Günlük tutan bir yazar yapıtlarında açığa vurmak istemediği kimi duygu ve düşüncelerini günlüğünde yansıtabilir uzun metin","Yukarıdaki numaralanmış cümlelerin hangisinde koşul anlamı vardır",II,III,IV,V,
57,Evet,"Bana söylediğin mazeretlerin hiçbirini kabul etmiyorum - Tut ki köprüdeki çalışmalar zamanında bitmedi - 8C sınıfının en haylazı Mesut olmalı - Yemeği annem yaptıysa kesin çok güzeldir","Cümlelerin hangisinde varsayım anlamı vardır",I,II,III,IV,
58,Evet,"Denemelerinde kendi yaşantısını okuyucuyla paylaşıyor - Bu denemesinde kişilerin yaşama bakışlarını ele almış - çeşitli konulardaki düşüncelerini kısa açıklayıcı cümlelerle anlatmış - Ünlü deneme yazarı her konuya değinmiş","Bir yazarın denemeleri hakkında söylenmiş bu cümlelerden hangisi yazarın üslubuna ilişkin bilgi vermektedir",I,II,III,IV,
59,Hayır,"","Aşağıdaki cümlelerin hangisinde ön yargı söz konusudur","Kitaplar mutluluğumuz için bir araçtır","Mutlu olmanın yollarını ondan öğrendim","Göreceksiniz bu film pek izlenmeyecek","Romanları hikâyeleri kadar başarılı değildir",
60,Evet,"Yarın kar yağabilir cümlesi","cümlesindeki anlam özelliğine aşağıdaki seçeneklerin hangisinde yer verilmemiştir","Son sınavından yüksek not alacağını düşünüyorum","Ummadığın taş baş yarabilir","Belki yarın derse ben de gelmem","Deniz bugün dalgalı olabilir",
61,Hayır,"","Aşağıdaki cümlelerin hangisinde yay ayraç içinde belirtilen anlam özelliği yoktur","Diyelim ki insanlar uzayda şehirler kurdu Öneri","Eski İstanbul şimdikine göre daha güzeldi Karşılaştırma","Bu öykülerde anlatılan yörenin konuşma dili kullanılmış Üslup","Büyük ikramiye sana da çıkabilir Olasılık",
62,Hayır,"","Aşağıda verilen cümlelerin hangisinde şaşırma söz konusudur","Derdimi kime nasıl anlatacağımı bilmiyorum","Bu kadar işin içinde nasıl kaybolmuyorsun anlamıyorum","Her türlü acıyı çekmiş ama olanlara sabretmiş","Bizimle birlikte çalışmayı göze alamıyorlarmış",
63,Evet,"İki gece üst üste yağmur yağmıştı metni tekrar","Numaralanmış cümlelerin hangisinde duygusal bir anlatım söz konusudur",I,II,III,IV,
64,Evet,"Herkesin sözüne inanırsan metni tekrar","Yukarıdaki numaralanmış cümlelerin hangisinde yakınma anlamı vardır",I,II,III,IV,
65,Hayır,"","Aşağıdaki cümlelerin hangisinde sitem duygusu söz konusudur","Ismarladığım kumaş ne yazık ki henüz gelmemiş","Zavallı kadın yıllarca çocuklarından gelen mektuplarla avunmuş","Zamanında sözümü dinleseydiniz şimdi bu hâllere düşmezdiniz","Sınıf arkadaşların tatil planı yapmışlar ama nedense benim bundan haberim yok",
66,Evet,"Kendince davranmak yaratıcı çabayı gerektirir - Nerede bir baloncu görsem ardı sıra yürürüm - Caddede yürürken iki yana dikkatle bakmalısın - Yabancı kültürler karşısında silinip gitmeye can atar gibiyiz","Numaralanmış cümlelerin hangisinde yakınma anlamı vardır",I,II,III,IV,
67,Evet,"Herkes buz dağının görünen kısmının şiirini yazar ben görünmeyen kısmının şiirini yazmaya çalışıyorum","Bu cümlede asıl anlatılmak istenen düşünce hangisidir","Sanatçının yazdığı her şey nesnel olmalıdır","Sanatçı herkesin anlayabileceği şekilde yazmalıdır","Sanatçı herkesten farklı ve zor olanı yazmalıdır","Sanatçı kendisini yazdıklarıyla ön plana çıkarmalıdır",
68,Evet,"Kadınlarımız için asıl mücadele alanı asıl zafer kazanılması gereken alan biçim ve kılıkta başarıdan çok ışıkla bilgi ve kültürle gerçek faziletle süslenip donanmaktır ATATÜRK","Aşağıdakilerden hangisi bu metindeki altı çizili cümleyle anlamca aynı doğrultudadır","Hayat umudunu kaybetmeyenlere her zaman güler","İnsanları güzelleştiren ya da çirkinleştiren onların dış görünüşü değil davranışlarıdır","Kıyafeti güzel olanın huyu da güzel olur","Mücadele ettiğin sürece yaşam sana birçok imkân sunar",
69,Evet,"Hiçbir şey kendiliğinden ne o kadar üzücüdür ne de zor Doğru bir kürek suda eğri görünür metni","Bu metindeki altı çizili cümleyle anlatılmak istenen hangisidir","Hayat bazı şeyleri görmemizi engeller","Bir şeyi nasıl görüyorsak o bizim için en doğru olanıdır","Önemli olan bir şeyin nasıl göründüğüdür","Şartlar değişince doğru olan bir durum yanlış görülebilir",
70,Evet,"Çağın yeni bir düşünce akımını ya da yabancıdan gelen yeni bir nesneyi adlandırırken kendi dilimizden bir karşılık bulmalıyız","Bu cümlenin anlamca özdeşi hangisidir","Dilimize giren her türlü yabancı kavram ya da nesneyi dilimizdeki karşılıkları ile adlandırmalıyız","Yabancı dillerden giren sözcükleri kullanmamalıyız","Yabancı kavram ve nesneler dilimize girerken değişime uğrar","Yabancı dillerden giren sözcükler dilimizi olumsuz yönde etkilemektedir",
71,Evet,"Bunca uğraşa rağmen istediğimiz noktaya gelemedik - Kendilerini beğenmeyenler başkalarını hiç beğenmezler - Yaşam yarışında rakibimiz kendimiz olmalıyız - Üstünlük ve başarı kişilere ve koşullara göre değişir","Numaralanmış cümlelerden hangisinde Başkalarından üstün olmak değil dünkü hâlimizden üstün olmak önemlidir anlamı vardır",I,II,III,IV,
72,Evet,"Mehmet en sevdiği köpeği Karabaşı sadece evlerinin önündeki parkta gezdirmektedir","Bu cümleye göre aşağıdaki yargılardan hangisine kesinlikle ulaşılır","Mehmetin oturduğu yerde başka park da vardır","Mehmet Karabaşla başka parklara da gitmektedir","Mehmet köpeğiyle parkta gezmeyi çok sevmektedir","Mehmetin Karabaştan başka köpeği yoktur",
73,Evet,"Bazı zamanlarda cümlelerden bir veya birkaç sözcük çıkarılabilir Kitapları çok satan bir yazardı ancak romanları özgün değildi yani","Bu açıklamaya göre cümlesini tamamlayacak en uygun ifade hangisidir","okura mesajı kısa yoldan veremiyordu","öne sürdüğü düşünceler birbiriyle çelişiyordu","Yazarımız bir türlü kendi olamamıştı","sıradanın dışına çıkmış romanımıza yeni bir soluk getirmişti",
74,Evet,"bilgisiz - benzer - kimse - savaş davuluna - içi boştur - sesi çok","Yukarıda verilen numaralandırılmış sözlerle kurallı ve anlamlı bir cümle oluşturulmak istense doğru sıralama hangisi olur","III II V IV VI I","I II V III IV VI","I IV V III VI II","I V III II VI IV",
75,Evet,"Boş boş de boş boş da su altındaki bir eşya gibidir net görülmez bulanıktır","Metindeki noktalı yerlere sırasıyla aşağıdakilerden hangileri getirilmelidir","Dün - yarın","Hayal - hatıra","Ölüm - hayat","Güzellik - sanat",
76,Evet,"Aynı boş boş konuşanlar değil aynı boş boş paylaşanlar anlaşabilir","Panodaki söz aşağıdakilerden hangisiyle tamamlanmalıdır","dili - durumu","biçimde - şeyleri","şeyleri - davranışları","dili - duyguları",
77,Evet,"Her düşüş bir öğreniştir - El atına binen tez iner - Bin ölçüp bir biçmeli - Her yiğidin bir yoğurt yiyişi vardır","Yukarıda numaralanmış atasözlerinden hangisinde farklılık vurgulanmıştır",I,II,III,IV,
78,Hayır,"","Aşağıdaki atasözlerinden hangisinde birtakım şeylerin yapılması için uygun zamanın beklenmesi öğütlenmektedir","Ak akçe kara gün içindir","Bugünün işini yarına bırakma","Demir tavında dövülür","Yazın başı pişenin kışın aşı pişer",
79,Evet,"El elin eşeğini türkü söyleyerek arar","Bu atasözü aşağıdaki durumların hangisinde söylenir","Herkesin yardıma ihtiyacı olduğu bir dönem olduğunda","İnsanlar birbirlerine yardım ederken mutlu olduğunda","İnsanın kendi sıkıntı ve sorunlarına başkaları gereken önemi vermediğinde","Bir kişinin sıkıntısına çare olacak kişi bu işi eğlencesinden geri kalmayarak yaptığında",
80,Evet,"Boğaz dokuz boğumdur - Lafla peynir gemisi yürümez - Söz gümüşse sükut altındır - Leyleğin ömrü iki lak lak","Bir sözü söylemeden önce iyice düşünmeliyiz anlamına gelen atasözü kaç numarayla gösterilmiştir",I,II,III,IV,
81,Evet,"Bu yıl bütün dünyada çok az yağmur yağdı diyalog metni","Bu diyaloğun son cümlesinde aşağıdaki anlamlardan hangisi vardır","Gerçekleşmemiş beklenti","Aşamalı durum","Varsayım","Tanımlama",
82,Evet,"Romancı yaşadığı toplumun geleneklerini göreneklerini yaşam tarzlarını romanlarında ister istemez ele alır","Bu cümleye anlamca en yakın olan cümle hangisidir","Romanlar insanlığın durumlarını yansıtan önemli yapıtlardır","Roman yazarı toplumsal olaylara çözümler üretir","Her roman insan ve toplum hayallerini dile getirir","Roman içinden çıktığı toplumun özelliklerinden izler taşır",
83,Evet,"Yolculukları hep sevmişimdir Bir yerden bir yere yolculuk etmek bana tarif edilmez bir sevinç verir Oldum olası yolculuklarımda otobüsü seçerim","Bu metinde numaralanmış cümlelerden hangisi kendinden önceki cümlenin gerekçesini belirtmektedir",I,II,III,IV,
