soru_?d;metin_var_mi;metin;soru;a_sikki;b_sikki;c_sikki;d_sikki
1;Evet;"(I) Yaz aylar?nda tamamen kuruyan Kara Mu?la Deresi’nin yata??n? takip ederek Saburhane Meydan?’na ilerliyorum. (II) Sa-
burhane’nin sürprizli sokaklar?na do?ru yol al?rken yüzleri ?s?tan ne?eli ilkbahar güne?inin a?açlara can verdi?ini hissetmek
zor olmuyor. (III) Kim bilir üst üste kaç kat kireç at?lm?? bembeyaz boyal? evleri ke?fetmek için sokak aralar?na dal?yorum.
(IV) Evlerin ah?ap bölümleri, Saburhaneli kad?nlar?n titizli?iyle siline siline özgün ve büyülü bir sanat eserine dönü?mü? sanki.";Bu parçada numaralanm?? cümlelerin hangisinde zarf-fiil yoktur?;I;II;III;IV
2;Evet;"Zarf-fiil görevinde kullan?lan sözcük cümleye ya zaman ya da durum anlam? katabilir. Örne?in, “Eve gelir gelmez annesine
sar?ld?.” cümlesinde alt? çizili sözcük zaman bildiren zarf- fiildir. “Ya?l? adam çekinerek konu?uyordu.” cümlesindeki alt? çizili
sözcük ise durum bildiren zarf-fiildir.";Hangi seçenekteki zarf-fiil, bulundu?u cümleye di?erlerinden farkl? bir anlam katm??t?r?;Kayaçlar?n yan?ndan geçerken...;?leti?im problemleri zaman ilerledikçe...;Adam can havliyle ko?arak yan?m?za geldi.;Birinci oldu?umu duyunca çok sevindim.
3;Evet;"Bir rüzgâr esse ?imdi gökyüzünden, Mavinin kokusu delip(I) geçse benli?imi. Umut dolu bir rüyaya yolum dü?se yemye?il k?r-
larda. Keyifli bir dü? olsam çay?rlara kök salan.(??)";Alt? çizili fiilimsi türleri (isim-fiil, s?fat-fiil, zarf-fiil) hangisinde bir arada kullan?lm??t?r?;Dünyan?n dört bir yan?ndan...;Kollar?m? savura savura...;El ele tutu?arak ?ark?lar söyleyelim...;Su gibi ak?nca zaman...
4;Hay?r;Güne? yava?ça batarken gölgeler uzamaya ba?lad?. Ku?lar?n ötü?ü, ak?am?n dinginli?ini daha da belirginle?tiriyordu. Sessizle?mi? sokaklar, hafif esen rüzgârla birlikte huzur veriyordu.;Hangisinde bu parçadaki alt? çizili fiilimsi türlerinden herhangi birinin örne?i yoktur?;Sular? ta??ran ya?murlar...;Ankara Ovas? ?a??rt?c? güzelli?iyle...;Kitap okuyarak zaman geçirmeyi...;Bahar?n geli?iyle açan çiçekler...
5;Evet;"“?lkbahar, Yaz, Sonbahar, K??” oyununda oyunculardan bi-
risi hakem seçilir. Hakemin görevi oyunu yönetmek, yani mevsimlerin isimlerini söylemektir. Ebe olmak üzere iki
oyuncu seçilir. Ebelerin amac? hakemin söyledi?i mevsimlerdeki oyuncular? yakalamakt?r. Oyuncular iki?erli grup
olu?turarak bir mevsim ad? seçerler ve her grup bir kö?eye çekilir.yönetmek, yakalamakt?r, olu?turarak, çekilir)";Bu parçada numaralanm?? sözcüklerin hangisi fiilimsi de?ildir?;I;II;III;IV
6;Hay?r;"Sonsuzlu?un, s?rr?na ererek(I) biz denizde
Sonsuzlu?u ya?atmak(II) istedik sevgimizde
Saç?m?z a?armadan(III) toprak olunca biz de
Gezecek(IV) maceram?z dillerde masal gibi";Hangisinde yer alan alt? çizili sözcü?ün türü ayraç içinde yanl?? belirtilmi?tir?;I (?sim-fiil);II (Çekimli fiil);III (S?fat-fiil);IV (Zarf-fiil)
7;Evet;(Sonsuzluk ?iiri... ererek, ya?atmak, olunca, gezecek);Bu ?iirde yer alan numaralanm?? sözcüklerin görevleri hangisinde do?ru verilmi?tir?;Zarf-?sim-Zarf-S?fat;Zarf-?sim-Zarf-Çekimli;Zarf-S?fat-Zarf-S?fat;Zarf-?sim-S?fat-Çekimli
8;Evet;"(I) Tropikal ku?aktaki okyanuslarda y?lda ortalama 80 tro-
pik f?rt?na meydana gelir. (II) Ko?ullara göre, bu ?iddet-
li f?rt?nalar kas?rgalara dönü?ebilir. (III) Kas?rgalar?n h?z?
saatte 119 km’yi a?abilir. (IV) Bu nedenle, Afrika’n?n bat?
k?y?lar?nda olu?an tropik bir f?rt?na Kuzey Amerika’n?n do-
?u k?y?lar?na ula?abilir.";Bu parçadaki numaralanm?? cümlelerin hangisinde yer tamlay?c?s? yoktur?;I;II;III;IV
9;Hay?r;;"Hangisinde yüklem; bulunma, ayr?lma veya yönelme durumlar?ndan biriyle tamamlanmam??t?r?";Gölgeye raz? olan, güne?e varamaz...;Eski sedire oturan nine...;?lk hava tahmini çizelgesini...;Yarasalar karanl?ktan korkmaz...
10;Evet;(E?itim tarihi... kapsar, geli?tirilmi?tir);Bu metinde numaralanm?? fiillerin çat?s?yla ilgili hangisi do?rudur?;Etken, Geçi?li - Etken, Geçi?li;Etken, Geçi?siz - Etken, Geçi?li;Etken, Geçi?li - Edilgen, Geçi?siz;Etken, Geçi?siz - Edilgen, Geçi?siz
11;Evet;(Anne temizlik... kalkt?, ba?lad?, saymad?, fark etti);Numaralanm?? fiillerden hangisiyle ilgili yap?lan de?erlendirme yanl??t?r?;I etken nesne almam??.;II etken nesne almam??.;III etken nesne almam??.;IV etken nesne alm??.
12;Hay?r;;Yukar?da numaralanm?? ?iirlerden hangisinde bütün fiiller etken ve geçi?sizdir?;I;II;III;IV
13;Evet;(Anadolu co?rafyas?...);Numaralanm?? cümlelerin hangisi yüklemin yerine göre di?erlerinden farkl?d?r?;I;II;III;IV
14;Hay?r;;Tablodaki numaralanm?? bölümlerin hangisinde yüklemin yeri özelli?i yanl?? belirtilmi?tir?;I;II;III;IV
15;Evet;(Da? keçileri...);Numaralanm?? cümleler yüklemin yerine göre grupland?r?l?rsa hangisi d??ar?da kal?r?;I;II;III;IV
16;Evet;"Bursa’da eski bir cami avlusu,
Küçük ?ad?rvanda ?ak?rdayan su.
Orhan zaman?ndan kalma bir duvar...
Onunla bir ya?ta ihtiyar ç?nar
Eliyor dört yana sakin bir günü.";Dörtlü?ün anlaml? ve kurall? bir cümle haline getirilmi? ?ekli hangisidir?;Bursa'da... sakin bir günü eliyor.;Avlu... dört yana eliyor.;Sakin bir günü eliyor...;Eski avlu... eliyor...
17;Evet;(Ay/Gün adlar? ve Kurum adlar?);A?a??daki cümlelerin hangisinde yaz?m yanl??? vard?r?;Balkonumuz...;Türkiye'de çevrenin korunmas?...;Kanun, 22 nisan 1962...;Radyodaki ses mi...
18;Evet;(Dutlar, Reformlar, Sabri Day?, Çocuklu?ununda);Yukar?da numaralanm?? cümlelerin hangilerinde yaz?m yanl??? yoktur?;I ve II;II ve III;I ve IV;III ve IV
19;Evet;(Küçük harfle ba?lama kural?);Bu aç?klama için bo?lu?a numaralanm?? cümlelerden hangileri getirilmelidir?;Yaln?z I;Yaln?z II;I ve II;II ve III
20;Evet;"(Yaz?t... ""bilgi"" kelimesi... gök bilim...)";Bu metindeki yaz?m yanl??? a?a??dakilerden hangisiyle ilgilidir?;Say?lar?n yaz?m?;Birle?ik kelimelerin yaz?m?;Büyük harflerin yaz?m?;Kinin yaz?m?
21;Evet;(Ak?amüstü ?ehir gürültülüydü...);Bo? b?rak?lan yerlere s?ras?yla hangi noktalama i?aretleri getirilmelidir?;( ) (.) (...) () ();( , ) ( . ) ( ! );) (,) (.) (:) (!);( : ) ( . )
22;Hay?r;;Hangisi bu metinlerde bo? b?rak?lan yerlere s?ras?yla getirilemez?;"(,) ( ; )";) (,);(') (,) (.);"(:) ("") ("")"
23;Evet;(Sabah erkenden kalkt?m...);Bo? b?rak?lan yerlere s?ras?yla hangi noktalama i?aretleri getirilmelidir?;I;II;III;IV
24;Evet;(Otlarla kapland?... Keçiboynuzu... Bitkiler...);Bu metindeki numaralanm?? yerlerden hangisine üç nokta (...) getirilmelidir?;I;II;III;IV
25;Evet;"Pazar yerinde her ?ey vard?: taze sebzeler, meyveler,
baharatlar … Nane, fesle?en, kekik ve daha birçok koku ortal??? sarm??t? ! Renk renk ?allar, i?lemeli çantalar ve el yap?m? tak?lar da dikkat çekiciydi : El i?i ürünler aras?nda dantel masa örtüleri, yün çoraplar, bez bebek-
ler . Ne ararsan bulunurdu bu küçük ama canl? pazarda.";Bu metinde numaralanm?? noktalama i?aretlerinden hangisinin kullan?m? do?rudur?;I;II;III;IV
26;Hay?r;;Numaralanm?? cümlelerden hangisinde yay ayraçl? yere üç nokta getirilmelidir?;Sergide eserler vard?: ();Bitkiler de stres ya?ar... ();Hata yapmak... ();S?ra gecelerinde... ()
27;Hay?r;;A?a??daki cümlelerin hangisinde anlat?m bozuklu?u yoktur?;Duymazdan geleceksin...;Emek harcad?m...;Umutlar tükenmez, artar.;Deniz kenar?na iner... yürürdüm.
28;Evet;"(Arkada??n? tan?r, ...) Bu cümle;
I. ona güvenirdi.
II. çok severdi.
III. onunla konu?may? severdi.";Bu cümle hangileriyle tamamlan?rsa anlat?m bozuklu?u olu?maz?;Yaln?z I;Yaln?z II;I ve III;II ve III
29;Hay?r;;Numaralanm?? cümlelerden hangisinde anlat?m bozuklu?u yap?lm??t?r?;Tiyatroya gittik...;Masraf yapt?k...;Sorumlulu?unu al?yor ne de...;Umudunu koruyan...
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
