ID,Metni Var mı,Soru Metni,Soru Kökü,A,B,C,D
29,Evet,"Çarşıya, pazara çıktığımda gördüklerim beni adamakıllı şaşırtıyor. İnsanların kıtlığa uğramış gibi alışveriş edişine, arabalar dolusu yiyecek maddesi yüklenip götürüşüne bir anlam veremiyorum. Bir gün yolunuz bir alışveriş merkezine düşerse bu söylediklerimi düşünün. Ben, bu merkezlerin nasıl yerler olduğunu anlamaya çalışırken başıma ağrılar giriyor. Hayatın bu kadar karmaşık, bu kadar pahalı ve lüks oluşu beni korkutuyor. İnsanlar durmadan alıyor, yiyor, tüketiyor. Bu doymamazlık, bu açlık neden?",Bu paragrafta neyden bahsedilmiştir?,Şehrin kalabalığından,Alışverişin gerekliliğinden,Tüketim çılgınlığından,Hayatın zorluğundan
30,Evet,"I. Amaç olunca da insan onu son noktaya kadar götürmek istedi. II. Özgürlük, mutlu bir yaşam için araç olmalıyken amaca dönüştü. III. Oysa her şeyde bir sınır olduğu gibi özgürlükte de bir sınır olmalıydı. IV. İşte sınırsız özgürlük isteği bu yüzden mutsuz hayatlar, mutsuz insanlar ortaya çıkardı.",Yukarıdaki cümlelerle anlamlı bir metin oluşturulduğunda sıralama aşağıdakilerden hangisi olur?,II - III - IV - I,II - I - III - IV,III - IV - II - I,III - II - I - IV
31,Evet,"(I) Kendimize belirlediğimiz hedeflerin ulaşılabilir, mantıklı hedefler olması lazım. (II) Belirlenen hedefler uçuk kaçık olduğunda ulaşılması da imkânsız oluyor. (III) Bu da insanda hayal kırıklığına yol açıyor. (IV) Her zaman, ulaşmak istediğimiz birden çok hedefimiz olmalıdır. (V) Üstelik ulaşabileceğimiz birçok hedefi kaçırmamıza da neden oluyor.",Bu parçada numaralanmış cümlelerden hangisi düşüncenin akışını bozmaktadır?,I.,II.,III.,IV.
32,Evet,"(I) Türkiye'de sinema, tiyatro eleştirmenleri var ancak şiir eleştirmeni yok. (II) Genç şairler güzel şiirler yazıyorlar. (III) Pek çok şair dile özen gösteriyor. (IV) Fakat bu güzel şiirler değerlendirilmiyor, eleştirilmiyor. (V) Şiirler bir süzgeçten, bir elekten geçirilirse ancak daha güzel, daha üstün şiirler oluşturulabilir.","Numaralanmış cümlelerden hangisi, parçanın anlam bütünlüğünü bozmaktadır?",I.,II.,III.,IV.
33,Evet,"Türkçe, ilk yazılı metinlerimizin bulunduğu 8. yüzyıldan günümüze kadar Türk milletinin dili olarak Türk devletlerinin resmî dili olma özelliğini korumuş ve sürdürmüştür. Dilimizin ilk yazılı metinleri olan Göktürk Kitabeleri, zamanın büyük devlet adamları Bilge Kağan ve Kültigin adına ve onların ağzından yazılmıştır. Kitabeler, onların millete hitabı ve hatta ""millete hesap vermesi""dir. Dolayısıyla Türkçe bu kitabelerde ""devlet dili"" yani ""resmî dil""dir.","Bu parçada, aşağıdakilerden hangisine _değinilmemiştir_?",Türkçenin ilk yazılı metinlerinin ne zaman bulunduğuna,Göktürk Kitabeleri'ne niçin resmi dil dendiğine,Göktürk Kitabeleri'nin kimler adına yazıldığına,Göktürk Kitabeleri'ndeki dilin sade ve gösterişsiz olduğuna
34,Evet,"Nur yağan geceler, gündüzler nerde, Neşe paylaştığım öksüzler nerde, Dost yollar, dost evler, dost yüzler nerde, Huzura erdiğim bayramlar hani?",Bu şiirin ana duygusu aşağıdakilerden hangisidir?,Özlem,Sevgi,Kaygı,Üzüntü
35,Evet,"Yazarın hikâyelerindeki karakterler, çoğunlukla zor koşullar altında yaşayan insanlardır. O, var olma mücadelesi içindeki bu karakterleri, güçlü bir gözlem yeteneğine ve içgörüye dayanarak son derece kanlı canlı biçimde betimler. Hatta yakın arkadaşı olan Cemal Süreya, onun hikâyelerindeki kişiler için şöyle der: ""_Onun kişilerine iğne batırsan kan çıkar._""","Bu metindeki altı çizili cümlede, sözü edilen hikâye karakterlerinin hangi özelliği anlatılmak istenmiştir?",Etkileyiciliği,Özgünlüğü,Gerçekçiliği,Evrenselliği
36,Evet,"Konya Ovası'nın güneydoğu bölümü, kısa bir süre öncesine kadar köylülerin iyi verim aldığı cömert topraklara sahipti. Bu bölge artık bir çölü andırıyor. 2000'li yıllardan önce pek çok insanın ekmek kapısı olan bu topraklar artık terk edilmiş.",Bu parça ile ilgili olarak aşağıdakilerden hangisi _söylenemez_?,Kişileştirme yapılmıştır.,Konya Ovası çöle benzetilmiştir.,Karşılaştırma yapılmıştır.,Sayısal verilerden yararlanılmıştır.
37,Evet,"Mustafa Kemal Atatürk, vatanı ve milleti için canını feda etmekten kaçınmadı. Evet, daha Çanakkale Savaşları sırasında Anafartalar'da en ön safta savaşmıştı. Sakarya Savaşı sırasında ise atından düşmüş, kaburga kemiklerini kırmış, buna rağmen cepheden ayrılmamıştı. ----","Bu diyalogdaki bütünlük dikkate alındığında, boş bırakılan yere gelebilecek _en uygun_ cümle, aşağıdakilerden hangisidir?","""Yurtta sulh, cihanda sulh"" ilkesini işte böyle mücadelelerden sonra benimsemişti.","Bütün kötü koşullara rağmen, Türk milleti için en iyisini hayal etmişti.","Savaşlar değildi onun rüyalarını kaçıran; o, milletine çok güveniyordu.",Atatürk'ün Türk eğitimi için yaptıklarını burada saymakla bitiremeyiz.
38,Evet,"(I) Yemyeşil ormanların tam ortasında, masmavi gökyüzünün altındaki Düldül Dağı'nın eşsiz güzellikte çamları var. (II) Oksijeni içinize her çekişte mutluluktan bulutlarla dans edersiniz. (III) Burada pırıl pırıl ve sıcacık güneşin altında huzurla dinlenirken alabildiğine tertemiz oksijen soluklayabilirsiniz. (IV) Aynı zamanda tatlı tatlı esen, ılık ılık okşayan yel ile konuşursunuz.",Bu parçada anlam bütünlüğünün sağlanması için kaç numaralı cümleler yer değiştirmelidir?,I ve IV.,II ve III.,II ve IV.,III ve IV.
39,Hayır,,Aşağıdakilerin hangisinde anlatım üçüncü kişi ağzından yapılmıştır?,"Çok geçmeden bozkır rüzgârı esmeye, yağmurlar yağmaya başladı. Çayın kenarında kum setlerinin üzerine oturdum ve yağmuru izlemeye başladım.",Dizlerini ovuşturdu ve tekrar ayağa kalktı. Dükkânın içinde sendeleyerek birkaç adım atmıştı. Yürüyebileceğini umuyordu.,İznimin son günü. Saat on ikiye geliyor. Koltukta uyuyakalmışım. Böyle her uyuklayıp uyanışta aklıma ilk gelen saat olur.,"Havaalanından şehir merkezine beş dakikada varıyoruz. Ama yolumuz bitmiyor, tren hattı boyunca ilerliyoruz."
40,Evet,"Cemal Süreya, Türk şiir geleneklerine bağlı kalarak Batı şiirini özümsemeyen önemli şairlerimizdendir. Kendine özgü şiir anlayışıyla, yoğun imgelerle bilgilerini ve birikimini sentezleyerek başarılı eserler vermiştir. Şiirlerinde hareket hâlindeki her şeyi anlatmış, insanın her yönüne değinmiştir. Üslup yönüyle de pek çok sanatçıdan ayrılmış ve halk dilini ön plana çıkarmıştır.",Bu metinden Cemal Süreya ile ilgili aşağıdakilerden hangisi _çıkarılamaz_?,Şiirlerinde günlük konuşma dilini kullandığı,İmgeyi geri plana atıp bilgiye önem verdiği,Batı şiirini eserleriyle bütünleştirdiği,"Şiirde, kendine mahsus bir yaklaşım benimsemiştir."
41,Evet,"Tüm mahalleli, Eşref Bey'i hem sever hem de sayardı. Onun nezaketine, ağır başlılığına herkes hayrandı. Yeri gelir insanlığıyla insan eder, düşmanına karşı bile kalbini bozmadan asaletle davranırdı. Kimseyi kırmadan en ateşli tartışmayı bile söndürüverirdi.","Aşağıdakilerden hangisi bu metinde sözü edilen ""Eşref Bey""in bir özelliği değildir?",Sevilen ve sayılan biri olması,Uysal bir karakteri olması,Ara bulucu olması,Özveri sahibi olması
42,Evet,"Vitray sanatı, gün ışığıyla değişen, onun azalması ve çoğalmasıyla farklılaşan ışıklı bir resim sanatıdır. Vitrayın diğer resim sanatlarından farkı, durağan kalmamasıdır; ışık değişimi veya ışığı etkileyen unsurlarla farklı özellikler kazanır. Azalan veya çoğalan ışık, bulutların hareketi, hatta vitrayın arkasındaki ağaç dallarının ve yapraklarının veya diğer nesnelerin hareketi vitray üzerinde farklı renkler ve gölgeler oluşturur. Ayrıca Roma'da yapılan kazılarda vitrayın MÖ 1. yüzyıldan beri yapıldığı ortaya çıkmıştır. Ayrıca Araplar 7. yüzyılda, daha sonra Türkler vitrayı kullanmış ve bu alanda yüksek değerli sanatsal örnekler ortaya koymuşlardır.",Bu metinde vitrayla ilgili aşağıdakilerden _hangisine değinilmemiştir_?,Ne zamandan beri yapıldığına,Kimler tarafından kullanıldığına,Diğer sanatlardan farkına,Kullanım alanlarına
43,Evet,"Bir işe başlamadan önce uzun bir süre düşünürdü. Aklına takılanları etraftaki kişilere sorar, onlardan akıl alırdı. Hiçbir işe mantık süzgecinden geçirmeden başlamazdı. Ne zaman ki herkesten bir onay alır, öyle girişirdi o işe. Küçücük bir olumsuzluğa bile açık kapı bırakmazdı.",Bu metinde sözü edilen kişi ile ilgili aşağıdakilerden hangisi _söylenemez_?,Detaylara takılmayan,En iyiye çabalayan,Başkalarının fikirlerini önemseyen,Titiz çalışan
44,Evet,"Antarktika Güney Kutup Bölgesi'nde bulunuyor. (I) Burası belki de dünyanın en soğuk yeri. (II) Kıtanın büyük bir bölümü, çok kalın bir buz örtüsüyle kaplı. (III) Kış boyunca kıyılar hatta deniz yüzeyi bile buzlarla kaplı. (IV) Bahar geldiğinde kıyılardaki buzlar eriyor, penguenler, foklar, deniz kuşları gibi canlılar kıyılarda toplanmaya başlıyor. (V) Kral penguenleri Antarktika'daki yedi penguen türünden biri. (VI) İlkbahar mevsiminde kral penguenleri burada bir araya gelip bir koloni oluşturuyor.",Bu metin iki parçaya bölünmek istense ikinci paragraf hangi cümle ile başlar?,II,IV,V,VI
45,Evet,"Çiçeklerle hoş geçin / Konuşmak bize mahsus / Sevmekten geri kalma / Başın olsa da yüksek Balı incitme gönül / Olsa da bir güzel süs / Yapan ol, yıkan olma / Gözün enginde gerek Bir küçük meyve için / 'Ya hayır de, yahut sus' / Sevene dik olma / Kibirle yürüyerek Bu dörtlükte her dizenin eğik çizgiyle (/) gösterilen ilk bölümleri yukarıdan aşağıya okunduğunda birinci dizeyi, ikinci bölümleri ikinci dizeyi, üçüncü bölümleri ise üçüncü dizeyi oluşturmaktadır.",Buna göre dörtlüğün son dizesi aşağıdakilerden hangisinde doğru verilmiştir?,Kibirle yürüyerek / Sevene dik olma / Bir küçük meyve için / Çiçeklerle hoş geçin,"'Ya hayır de, yahut sus.' / Sevene dik olma / Kibirle yürüyerek / Dili incitme gönül",Başın olsa da yüksek / Gözün enginde gerek / Kibirle yürüyerek / Yolu incitme gönül,Sevene dik olma / Başın olsa da yüksek / Gözün enginde gerek / Kibirle yürüyerek
46,Evet,"Doğu Edebiyatı'nın hikmetle dolu, ibret veren, güldüren ve ağlatan nadide eserlerinden biri de ""Bostan""dır. Şirazlı Şeyh Sadi'ye ait bir eser ""Bostan"". Esere ""Edebname"", ""Sadiname"" de deniyor. Bizde, özellikle Osmanlı devrinde okullarda Farsça öğretimi vesilesiyle okutulan kitapların başlıcalarındandı. Dolayısıyla birçok tercüme ve açıklaması bulunuyor ""Bostan""ın.","Bu metinde ""Bostan"" adlı eserle ilgili aşağıdakilerden hangisine _değinilmemiştir_?",Kime ait olduğuna,Hangi konunun işlendiğine,Diğer isimlerine,Osmanlı devrinde okullarda niçin okutulduğuna
47,Evet,"(I) ""Denizineği"" olarak bilinen manatiler, genellikle vakitlerini su altındaki bitki örtüsünde otlayarak geçirir. (II) Sıcak kıyıların sığ sularında yaşar. (III) Vücutlarını suyun üzerinde ilerletebilmek için kürek şeklindeki kuyruklarını yukarı, aşağı hareket ettirir. (IV) Hantal görünüşlerine rağmen manatiler, usta yüzücüdür.","Bu metinde numaralanmış cümlelerin hangisinden sonra ""Öyle ki saatte 25 km hızla bile yüzebilir."" cümlesinin getirilmesi en uygundur?",I.,II.,III.,IV.
48,Evet,"Beyin 100 milyar sinir hücresinden (nöron) oluşur. Bunlardan sadece bir milyarı uzun dönemli hafızada rol oynar, bunlara _piramidal hücreler_ denir. Bir nöronun bir birim hafızaya denk düştüğünü varsayarsak beynimizin tümüyle dolmuş olması gerekirdi. Psikoloji Profesörü olan Paul Reber, nöron sayısı kadar hafızanın büyük bir kapasitesi olmadığını ve hemen dolacağını ifade ediyor. Bu nedenle araştırmacılar, hafızanın nöronlar arasındaki bağlantılarda oluştuğuna inanıyor. Her nörondan çıkan ağ şeklindeki bağlantılar, binlerce başka sinir hücresine ulaşıyor.",Bu metin aşağıda açıklaması verilen _anlatım biçimlerinden_ hangisine örnektir?,"Herhangi bir konu hakkında bilgi verilir, bir şeyler öğretmek amacına yöneliktir. Yazar, sanatlı söyleyişlerden ve öznellikten kaçınır.","Bir yerin veya varlığın özellikleri, bu özelliklerin yazarda uyandırdığı izlenimler, okurun gözünde canlanacak şekilde anlatılır.","Bir yaşam kesiti, belli bir olaya bağlı olarak anlatılır. Amaç, okuru olayların içinde yaşatmak, kahramanlarla ve olayla özdeşleştirmektir.","Yazar, bir konu ile ilgili kişisel görüşünü belirterek okuyucunun o konu hakkındaki fikrini etkilemeye çalışır. Karşılıklı konuşma havası vardır."
49,Evet,"Dilimiz, konuşma dilimizden çok yazı dilimiz, yıllardan beri, yüzyılı aşkın bir zamandan beri durmadan değişiyor. Değişmesini bir dileyen oldu diye değil, değişmesi gerektiği için, değiştirmek zorunda olduğumuzdan, içimizden geldiği için değişiyor. Elimizdeki dille, dünden kalan dille, istediğimizi söyleyemediğimiz, istediğimiz gibi söyleyemediğimiz için değişiyor.",Bu metinde aşağıdaki sorulardan hangisinin yanıtı vardır?,Dilimizdeki değişim ne zaman başladı?,"Dilimizdeki değişim, dilimizi kötü etkiler mi?",Yazı dili neden konuşma dilinden daha çok değişiyor?,Dilimizde değişimin olmadığı zamanlar da var mı?
50,Evet,"Dünyanın en büyük arısı olarak bilinen Wallace dev arısı, en son 1981'de görülmüştü. Bu nedenle soyunun tükendiği düşünülüyordu. Ancak bu konuda çalışan bilim insanlarının eline bu arı türünün hâlâ var olduğuyla ilgili bir bilgi ulaştı. Bu nedenle bilim insanları, geçtiğimiz günlerde bu arının daha önce de görüldüğü Endonezya Adalarında bir yolculuğa çıktılar. Bu yolculukta Wallace'ın dev arısıyla karşılaşan bilim insanları, arının nasıl bir yaşam sürdüğü konusunda araştırma yapacaklarını belirttiler.","Bu metinde ""Wallace dev arısı"" ile ilgili aşağıdaki sorulardan _hangisinin cevabı yoktur_?",En son nerede görülmüştür?,Soyunun tükenmek üzere olmasının sebebi nedir?,Hakkında bilinenler nasıl değişmiştir?,Hakkında araştırma yapılmak istenmesinin nedeni nedir?
51,Evet,Yazmaya başlamadan önce bol bol okudum. Özellikle dünya edebiyatının en iyilerini okudum. Yazarlığa soyunmadan önce herkesin yapması gereken bir iştir okumak. Dilimi geliştirdim. Bu sayede yazarken dilin olanaklarını da kullanmış oldum. Çünkü dili kullanmakla iyi bir yazar olmak arasında doğru orantı vardır. Bunu kendimde çok net bir biçimde gördüm.,Bu metinde sözü edilen yazarla ilgili aşağıdakilerden hangisine _ulaşılamaz_?,Dünya edebiyatının önemli eserlerini okumuştur.,Dünya klasiklerini Türkçeye kazandırmıştır.,Dilin olanaklarını eserlerinde kullanmıştır.,Dili kullanabilmesi iyi bir yazar olmasında etkili olmuştur.
52,Evet,"(I) Henüz on yedi yaşında olan genç şairimiz yeni bir şiir çağının başlangıcını haber veriyor. (II) Paris'te çıkan sanat dergilerinden biri, genç şairlere sayfalarını açmıştı. (III) Tecrübeli sanatçılardan biri, genç şairlerden birini başarılı şiiri için kutladıktan sonra yazısını şöyle bitiriyordu: (IV) Her hafta dergiye gelen şiirlerden en çok beğenilen beş tanesi yayımlanıyor, derginin tanınmış sanatçıları bu şiirleri eleştiriyordu.",Numaralanmış cümlelerle anlamlı bir metin oluşturulmak istenirse sıralama aşağıdakilerden hangisi olur?,II - III - I - IV,II - IV - III - I,IV - III - II - I,IV - II - I - III
53,Evet,"Serin bir ilkbahar sabahı... Yerlerde yağmurdan artakalan su birikintileri... Körfezde başı ellerinin arasında, gözleri yerde bir adam oturuyor. Gecenin soğuğundan kalma hafif bir rüzgâr şakaklarına, oradan ıslak yanaklarına doğru kıvrılıyor. Kan çanağı gözleri, Marmara'ya saplanan güneş ışıklarının etkisiyle yanmaya başlıyor.",Bu parçanın anlatımında aşağıdakilerin hangisinden yararlanılmıştır?,Betimleme,Örnekleme,Tanımlama,Karşılaştırma
54,Evet,"Balzac, romanlarında betimleme yaparken çok titiz davranır. Bir fırça darbesi ile çizer geçer, ona takılmaz. Çünkü okuyucunun romanı bir çırpıda okumasını ister. Anlatının dokusunu bozmaya müsaade etmez.",Bu parçada sözü edilen sanatçının öne çıkan özelliği aşağıdakilerden hangisidir?,Evrensellik,Akıcılık,Öznellik,Etkileyicilik
55,Evet,"""Günsarısı"" adlı kitap, 8-9 yıllık bir süre içinde seçilmiş yazılardan oluşuyor. Bu yazılarda hayatımıza dokunan veya etkileyen her şey var: Dokunduğumuz nesneler, karşılaştığımız insanlar, yüreğimizde kalan duygular, vatanımızın atmosferi; molalar, acılar, fırtınalar... ""O günlerde ne varsa, bu yazılarda da var!""","Bu parça, aşağıdaki sorulardan hangisine yanıt olarak verilmiştir?","Günlük hayatın renkleri ile ""Günsarısı"" arasında nasıl bir ilişki vardır?","""Günsarısı"" ne anlama gelmektedir?","Kitabın içeriği ile üslubu, niçin bu kadar birbirinden farklıdır?","Günsarısı adlı kitap, hangi konuları içermektedir?"
56,Evet,"Öğretmen: ""Çocuklar! Piknik sona erdi. Hava kararmak üzere... Toparlanın, okula yetişmeniz lazım."" Ali: ""Biz hazırız öğretmenim."" Öğretmen: ""Haydi bakalım, geldiğimiz yoldan geriye dönüyoruz..."" Veli: ""Öğretmenim şuraya bakın! Ne kadar güzel bir köşk burası..."" Öğretmen: ""Aaa! Gerçekteeen! Harika bir ev bu! Kimin acaba çocuklar?"" Can: ""Bilmem ama keşke bu evin sahibinin oğlu olsaydım."" Öğretmen: ""Niye?"" Can: ""Niye mi? Baksanıza, Boğaz manzaralı, yemyeşil bahçesi olan olağanüstü bir ev bu. Kim bilir içinde neler neler vardır?""",Aşağıdaki yay ayraç içi ifadelerden hangisi bu metnin _herhangi bir yerinde_ kullanılamaz?,(Küçümser bir tavırla),(Yüksek sesle),(İşaret parmağıyla göstererek),(Şaşkınlıkla)
57,Evet,"Hayaller, gerçeğe ilişkin görüntülerdir. Biz hayalleri önce zihinde canlandırır, sonra dış dünyada var ederiz. Bu, hem kısa dönemde hem de sonsuza varan gelecekte yaşamı değiştirmeye yarar. Hayalin gelecek tasarımı olduğunu, bilinçli veya bilinçsiz, hayatı yönlendirdiğini yaşamımızda görebiliriz. Hayalin bir anlamda düşünce olduğunu da söyleyebiliriz.",Bu metinde _hayalle_ ilgili aşağıdakilerden hangisine _değinilmemiştir_?,Hayatı yönlendirmektedir.,Düşünceden uzak bir duygu hâlidir.,Gelecek planlaması olarak düşünülebilir.,Başlangıç noktası zihindir.
58,Evet,"Zaman zaman çevrenizdeki çocukların kesinlikle sonu gelmeyecekmiş gibi görünen, birbirinden tuhaf sorularına tesadüf etmişsinizdir. Beş altı yaşlarında olan çocukları şöyle bir düşünün, ne çok soru sorarlar çevrelerinde olup bitenleri anlamak için: ""Bu ne, niye, ama neden, nasıl, ne zaman?"" Sabırla cevap verirsiniz ve tam bittiğini sandığınız anda başa dönerler: ""Bu ne, niye vb.?"" Çünkü ----",Bu metinde boş bırakılan yere düşüncenin akışına göre aşağıdakilerden hangisi getirilmelidir?,soruların tamamı birbirinin aynısıdır.,sorular hayatı ve dünyayı öğrenmelerine yardımcı olur.,soru sormak çocuklar için eğlenceli bir uğraştır.,çocuklar sorularıyla büyüklerini bıktırırlar.
59,Evet,"Çocuk eğitiminde istenen davranışları (odasını toplama, okulda başarılı olma gibi) elde etmek için ceza vermek etkili bir yol değildir. Çocuğun hedefe ulaştığında büyük bir ödül vermek de her zaman etkili olmayabilir. En işlevsel yaklaşım, ana hedefle ilgili küçük davranışları düzenli aralıklarla ödüllendirmektir. Örneğin, çocuğun odası tamamen düzenli olduğunda sadece ödül vermek yerine, montunu asmak gibi küçük bir düzenli davranışı samimiyetle takdir etmek daha etkili olabilir.",Bu parça için kullanılabilecek _en uygun başlık_ aşağıdakilerden hangisidir?,Çocuklarda Cezaların Caydırıcılığı,Eğitimde Yanlış Yöntemler,Çocuk Eğitiminde Ödül ve Ceza,Çocuk Gelişiminde Hedefler
60,Evet,"Şarkılar, şiirler, romanlar, öyküler ve diğer tüm sanat eserleri toplumun iç dünyasını gösteren birer penceredir. Neşeli şarkılar, hüzünlü şiirler, heyecanlı romanlar veya karamsar öyküler... Toplum ne yaşıyorsa onu yazıyor, onu okuyor, onu dinliyor, onunla ilgili bir eser ortaya koyuyor. Çünkü insan, eyleme dökemediği, sözle anlatamadığı her türlü duyguyu bir şekilde dışa aktarmanın yollarını arıyor. Böylece bu duygular insanların yazdıklarında, okuduklarında, dinlediklerinde veya ortaya koyduğu eserlerde hayat buluyor. Bu sebeple bir ülkede öne çıkan eserlere baktığımızda toplumda olanı biteni anlamak çok da zor olmasa gerek.",Bu parçanın ana düşüncesi aşağıdakilerden hangisidir?,Okuma tercihleri kişilerin sosyal durumlarına göre değişir.,"Sanatsal ürünler, toplumun duygularını yansıtan aynalardır.",Toplumların sanatsal tercihleri farklılık gösterebilir.,Sanat eserleri halkın duygularını yansıtmaktan yeterli olmayabilir.
61,Evet,"I. Çok uzaklarda bir orman vardı eskiden ormandaki koca koca ağaçlar en yüksek kuleleri, en yüksek gökdelenleri bile gölgede bırakırdı. Uçurtmalar bile aşamazdı boylarını. Ağaçlar göğe kadar uzanır giderdi. II. Uzaklardan bakan küçük çocuklar, bu ağaçların tepesine tırmananların ellerini uzatınca yıldızları tutabileceklerini sanırlardı. Kimsecikler tırmanamazdı o ağaçlara. III. Oysa ormanın içinde korkmadan dolaşan bir adam vardı; yıllardan beri burada yaşardı, alışmıştı. En sık ağaçların arasında bir kulübede otururdu. IV. Ağaçlara tırmanmak şöyle dursun, ormana girmeyi bile göze alamazlardı. Bir ürperti sarardı her yanlarını, korkarlardı.",Numaralanmış parçalarla anlamlı bir metin oluşturmak için hangileri yer değiştirmelidir?,I ve II,II ve III,II ve IV,III ve IV
62,Evet,Okuduğunu unuttuundan yakınıp okumayı bırakan insanlar vardır. Elbette hafızamız bütün okuduklarımızı hatırlayamaz. ----,Bu metinde boş bırakılan yere düşüncenin akışına göre aşağıdakilerden hangisi getirilmelidir?,"Ancak okumak, bilgi birikimimizi artırır ve düşünce dünyamızı zenginleştirir.","Çünkü okumak, sadece bilgi edinmek için değil, düşünce geliştirmek için de önemlidir.","Yine de okumak, unutulanların yanında kalıcı izler bırakır ve kişiliğimizi şekillendirir.","Oysa okumak, sadece hatırlamak için değil, anlamak ve kavramak için de gereklidir."
